Year,Kilometers_Driven,Mileage,Engine,Power,Seats,en_Fuel,en_Transmission,en_Owner,Name,Price
2017,44285,20,1373,91,5,2,1,1,41,7.47
2016,54000,16,2179,140,7,1,2,1,192,13.25
2016,30232,21,1197,85,5,2,1,1,137,5.81
2014,88500,24,998,67,5,2,1,1,15,2.6
2017,13372,19,2996,362,2,2,2,1,145,54.0
2019,12645,17,1591,121,5,2,2,1,175,11.5
2010,94385,19,796,46,5,2,1,2,15,1.6
2015,31821,20,1995,143,5,1,2,1,0,17.22
2015,12000,19,1199,88,5,2,2,1,94,6.0
2012,88578,13,1799,130,5,2,1,1,43,3.95
2014,44965,19,2143,170,5,1,2,1,112,17.95
2014,45044,25,1498,98,5,1,1,1,16,3.7
2016,34204,22,1197,81,5,2,1,1,160,5.43
2012,91235,11,2982,171,7,1,1,1,75,13.49
2014,38800,18,1199,76,5,2,1,1,25,2.85
2013,83000,21,1498,103,5,1,1,1,134,4.75
2018,41283,20,1373,91,5,2,1,1,41,9.9
2013,23000,11,2894,444,4,2,2,1,133,37.0
2014,48000,21,1995,190,5,1,2,1,1,26.5
2015,48214,17,1968,174,5,1,2,1,9,23.32
2016,35000,22,1248,74,5,1,1,1,160,6.25
2010,35277,7,5461,362,5,2,2,1,139,30.0
2016,54620,21,1498,103,5,1,2,1,134,9.86
2012,136997,17,1968,138,5,1,2,1,159,8.5
2019,14322,21,814,55,5,2,1,1,58,4.23
2012,65634,22,1199,73,5,1,1,1,124,3.5
2016,6000,20,1198,67,5,2,1,1,83,2.5
2013,33280,19,1198,86,5,2,1,1,30,2.39
2013,29000,14,1595,120,5,2,2,1,21,11.25
2015,42831,26,1498,98,5,1,1,1,42,7.11
2016,90000,12,2494,100,7,1,1,1,93,10.9
2017,24005,20,1197,81,5,2,1,1,160,6.2
2012,32792,15,2179,140,7,1,1,1,192,7.9
2014,147898,22,1498,89,5,1,1,1,60,4.42
2012,131765,13,2982,168,7,1,1,1,75,13.5
2013,65000,21,1498,108,5,1,2,1,172,6.25
2010,66123,20,1399,68,5,1,1,2,73,2.1
2015,41000,15,2993,258,5,1,2,1,184,45.0
2017,23550,19,2143,167,5,1,2,1,112,33.66
2012,45000,19,1198,86,5,2,1,2,30,3.65
2013,60000,20,1197,78,5,2,1,1,200,2.75
2016,44414,17,2143,170,5,1,2,1,80,42.5
2019,1000,18,1197,81,5,2,1,1,86,6.5
2012,62500,17,1968,174,5,1,2,2,10,19.0
2013,21000,14,1598,103,5,2,2,2,172,4.45
2017,8525,16,1998,112,5,1,2,2,50,23.0
2014,29000,22,1396,88,5,1,1,1,201,8.35
2014,40000,17,1968,174,5,1,2,1,10,22.95
2012,88000,25,936,57,5,1,1,1,25,1.5
2012,53537,13,1798,157,5,2,2,1,159,6.89
2006,216000,17,1399,68,5,1,1,2,72,1.45
2014,51000,22,1995,190,5,1,2,1,2,33.5
2007,118500,12,1598,102,5,2,1,1,118,1.25
2012,63000,22,1199,73,5,1,1,1,124,4.2
2015,25000,19,1461,108,8,1,1,1,102,6.75
2014,37382,13,2143,201,5,1,2,1,57,32.0
2017,24773,21,1197,83,5,2,1,1,24,7.5
2012,62000,22,1582,126,5,1,1,1,175,4.6
2017,52340,19,1086,68,5,2,1,1,200,4.04
2016,56739,15,1997,120,7,1,1,1,153,10.31
2018,36091,12,2179,187,5,1,2,1,138,55.76
2010,120000,20,1399,68,5,1,1,1,73,2.6
2016,33000,25,1248,88,7,1,1,1,66,8.5
2014,52000,25,1498,98,5,1,1,1,16,3.5
2015,43571,20,1197,78,5,2,1,1,200,3.55
2013,50000,25,1498,98,5,1,1,1,16,3.25
2008,113000,17,1896,106,5,1,1,1,100,4.5
2014,90000,19,1461,83,5,1,1,1,55,5.35
2017,29000,17,1493,100,7,1,1,2,114,6.5
2016,20000,24,1248,88,5,1,1,1,177,9.0
2016,61012,18,1197,81,5,2,1,1,201,6.0
2009,87459,14,1390,85,5,2,1,1,71,2.75
2010,70500,15,1193,64,5,2,1,1,92,1.5
2015,64103,15,1968,174,5,1,2,1,127,19.9
2014,76000,14,1798,177,5,2,2,1,115,10.0
2014,104000,23,1364,67,5,1,1,1,68,3.0
2014,37245,14,1595,120,5,2,2,1,21,11.96
2013,45000,27,1498,98,5,1,1,1,16,3.25
2012,117837,22,1582,126,5,1,1,2,175,4.75
2014,30000,20,1461,83,5,1,1,1,55,5.95
2015,27057,15,1591,121,5,2,1,2,51,8.15
2016,8500,20,998,67,5,2,2,1,180,4.22
2010,30500,11,1796,186,5,2,2,1,112,10.5
2012,56000,11,2967,246,5,1,2,1,12,45.0
2012,44000,19,1086,68,5,2,1,2,200,2.9
2017,10500,14,1598,103,5,2,2,1,134,8.9
2017,26000,14,1798,177,5,2,2,1,159,26.0
2018,25166,17,1197,81,5,2,1,1,201,8.22
2014,64000,25,1498,98,5,1,1,2,16,3.5
2004,61000,18,998,67,5,2,1,2,180,1.25
2013,107000,21,1461,65,5,1,1,1,174,3.7
2018,29161,19,2143,167,5,1,2,1,112,39.41
2013,32000,22,998,67,5,2,1,1,180,2.65
2015,46173,19,1461,108,5,1,1,2,165,8.92
2017,26327,16,1998,189,4,2,2,1,48,35.67
2007,200000,17,1396,53,5,1,1,2,91,0.85
2016,60813,18,1199,76,5,2,1,2,25,3.32
2012,45000,22,1199,73,5,1,1,1,124,3.6
2016,64000,22,1248,74,5,1,1,1,160,6.8
2012,41284,20,1399,68,5,1,1,1,73,2.5
2019,14165,11,2755,171,7,1,2,1,93,19.64
2011,67000,11,2199,194,7,1,2,2,150,7.0
2011,32572,17,1497,117,5,2,1,1,42,3.87
2018,14960,18,1197,81,5,2,1,1,201,6.27
2015,55980,19,2143,167,5,1,2,1,112,18.12
2013,74000,25,936,57,5,1,1,1,25,2.65
2015,56847,22,1396,88,5,1,1,1,201,7.2
2015,121374,12,2494,100,7,1,1,1,93,14.3
2013,52000,20,1248,88,7,1,1,1,66,6.9
2014,118000,12,2494,102,7,1,1,1,93,10.75
2016,33915,17,1497,117,5,2,1,1,42,8.09
2014,82002,17,1995,184,5,1,2,1,182,18.5
2017,33000,24,1120,70,5,1,1,1,86,4.75
2016,34000,28,1248,88,5,1,1,1,41,8.45
2012,55000,20,1598,103,5,1,1,1,134,3.5
2006,160538,13,1493,82,5,1,1,1,13,1.8
2014,60000,19,1498,103,5,1,1,2,124,3.7
2017,49575,18,1199,88,5,2,1,1,94,7.17
2010,83000,19,1086,68,5,2,1,1,200,1.75
2018,51346,16,1995,183,5,1,2,1,170,21.99
2017,43000,13,2393,147,7,1,1,1,93,18.65
2011,35000,19,796,35,5,2,1,3,116,1.85
2017,27872,20,1197,81,5,2,1,2,160,5.95
2014,16514,18,1197,82,5,2,1,1,86,3.75
2012,120000,22,1248,74,5,1,1,1,160,3.75
2008,143275,22,1582,126,5,1,1,1,175,2.6
2010,52000,17,1197,80,5,2,1,1,201,2.8
2017,29819,11,2987,254,5,1,2,1,81,61.29
2014,57000,15,2148,170,5,1,1,2,112,18.0
2014,88500,23,1248,73,5,1,1,1,137,4.35
2016,28000,19,1582,126,5,1,1,1,51,13.75
2010,67000,19,998,66,5,2,1,1,7,2.0
2016,26000,19,1461,108,5,1,1,1,55,10.0
2010,120000,17,1248,76,5,1,1,1,87,1.65
2017,51982,16,2993,258,5,1,2,1,183,45.77
2010,36000,20,1197,78,5,2,1,2,200,3.25
2016,47000,12,2494,102,7,1,1,1,93,12.8
2002,60000,17,993,60,5,2,1,3,198,0.55
2018,31025,28,1248,74,5,1,1,1,160,7.15
2013,105000,12,2179,120,8,1,1,2,153,7.0
2017,121900,22,1248,74,5,1,1,1,199,3.75
2017,22695,18,999,123,5,2,1,1,59,8.5
2012,73000,23,1248,74,5,1,1,1,160,4.35
2016,32227,22,796,47,5,2,1,1,15,3.26
2011,55000,17,1497,118,5,2,1,1,42,4.21
2018,11287,12,2967,241,7,1,2,1,129,70.36
2009,48000,17,1896,105,5,1,2,2,100,2.95
2012,54308,17,1591,121,5,2,1,1,175,4.28
2009,78442,16,1497,118,5,2,2,1,42,3.57
2013,46000,21,1396,88,5,1,1,1,201,3.11
2014,45051,15,1396,98,5,2,2,1,201,5.96
2011,69000,20,1598,103,5,1,1,1,172,4.7
2014,49000,17,1497,117,5,2,1,1,42,6.9
2018,45000,22,1248,74,5,1,1,1,199,5.25
2015,64000,18,1995,177,5,1,2,1,2,28.0
2009,60000,18,1061,67,5,2,1,1,180,1.35
2015,62178,18,1199,88,5,2,1,1,94,4.85
2012,58006,15,1896,105,5,1,1,1,95,6.7
2010,74000,20,1197,78,5,2,1,1,200,3.1
2015,77771,19,2143,170,5,1,2,1,112,18.64
2012,45275,20,1197,78,5,2,1,1,200,2.8
2016,48000,13,2393,147,7,1,1,1,93,20.25
2015,31652,17,1968,174,5,1,2,1,10,26.78
2010,109000,12,2494,100,7,1,1,2,93,8.26
2015,31978,16,1198,73,5,2,1,1,124,3.89
2011,70000,20,998,67,5,2,1,1,15,2.1
2017,15000,18,1497,117,5,2,2,1,42,12.69
2013,59138,17,1405,70,5,1,1,1,92,2.58
2014,61726,17,1968,174,5,1,2,1,10,20.77
2015,48000,17,2143,136,5,1,2,1,79,20.26
2014,77815,23,998,67,5,2,2,1,40,4.25
2017,29000,17,2143,201,5,1,2,1,81,57.0
2017,44000,12,2179,187,5,1,2,1,138,44.0
2011,108626,20,1598,103,5,1,1,1,172,3.65
2012,71791,14,796,35,5,2,1,1,116,2.05
2012,91931,18,1198,86,5,2,1,1,30,3.13
2000,158000,14,2956,83,7,1,1,2,157,1.5
2012,91183,18,1248,75,5,1,1,1,91,2.85
2012,65000,18,998,67,5,2,1,1,180,2.65
2015,88428,16,2179,140,7,1,1,1,192,10.6
2008,138000,17,1396,70,5,1,1,2,92,1.25
2018,18000,16,1373,93,7,2,1,1,66,8.25
2011,60000,11,2354,177,5,2,2,1,14,4.45
2012,48000,19,1248,73,5,1,1,1,160,3.7
2009,160000,17,1399,68,5,1,1,1,72,2.8
2008,40000,17,1497,78,5,2,1,1,42,1.8
2014,51495,17,1968,174,5,1,2,1,10,21.95
2011,30000,9,2993,313,4,1,2,1,3,49.0
2017,97430,14,2967,245,7,1,2,1,129,62.67
2008,42496,26,998,67,5,3,1,1,198,1.4
2012,83000,23,1396,90,5,1,1,1,201,5.5
2009,37000,16,1197,78,5,2,2,3,200,2.95
2016,28503,19,1199,88,5,2,2,1,94,6.86
2015,76496,25,1248,74,5,1,1,1,160,6.15
2011,79152,18,1197,82,5,2,1,2,201,3.3
2011,32000,16,1198,73,5,2,1,1,124,2.55
2009,35000,19,796,46,5,2,1,1,15,1.5
2004,105000,11,1794,125,5,2,2,2,49,2.5
2006,56000,19,796,46,5,2,1,2,15,1.4
2012,73000,21,1248,88,5,1,1,1,106,3.4
2012,38000,19,796,46,5,2,1,1,15,2.25
2013,775000,19,1968,141,5,1,2,1,115,7.5
2008,80000,11,1794,125,5,2,2,1,49,2.8
2016,24973,18,1197,81,5,2,1,1,201,7.66
2016,45000,24,1248,88,5,1,1,1,177,7.15
2010,87430,17,1497,118,5,2,1,1,42,3.5
2014,133944,18,1248,75,5,1,1,2,91,3.5
2013,57000,25,1498,98,5,1,1,1,16,3.45
2016,27904,21,814,55,5,2,1,1,58,3.55
2015,30717,21,1995,190,5,1,2,2,1,25.99
2012,80000,22,1582,126,5,1,1,1,175,5.25
2013,47304,21,1248,88,5,1,1,1,106,2.9
2005,100000,14,1984,227,5,2,2,1,115,2.05
2017,30000,24,998,67,5,2,1,1,15,3.75
2014,68000,22,1498,89,5,1,1,1,60,6.75
2011,21000,18,995,62,5,2,1,2,155,0.95
2017,21000,19,1999,177,5,1,2,1,189,52.0
2007,119000,13,1997,141,5,2,1,3,34,3.91
2019,13747,14,1798,177,5,2,2,1,159,27.3
2009,620000,20,1197,78,5,2,1,1,200,2.7
2013,70000,22,1248,74,5,1,1,1,160,3.5
2016,18000,18,1197,83,5,2,2,1,160,6.2
2011,83000,23,1461,63,5,1,1,1,107,2.75
2015,130000,23,1248,74,5,1,1,1,160,3.25
2012,63400,17,1399,67,5,1,1,1,72,3.25
2003,65000,17,993,60,5,2,1,1,198,0.65
2017,8350,13,1998,192,5,2,1,1,45,35.0
2014,45000,23,1364,67,5,1,1,1,68,3.25
2018,26200,24,796,47,5,2,1,1,15,2.9
2011,11000,18,796,47,5,2,1,3,15,2.9
2009,90000,11,2993,235,5,1,2,2,184,17.75
2015,74000,11,2496,179,5,2,2,2,164,8.25
2015,37081,18,1197,82,5,2,2,1,86,5.77
2017,39000,24,1248,88,5,1,1,1,177,9.49
2008,99000,12,2967,241,7,1,2,3,129,12.95
2015,38000,17,2143,136,5,1,2,1,79,20.0
2007,72000,16,796,37,4,2,1,3,5,1.0
2015,93000,20,1461,83,5,1,1,2,55,7.1
2017,5900,21,1364,87,5,1,1,1,49,16.5
2014,25000,15,2148,170,5,1,1,1,112,26.0
2010,68000,21,1248,73,5,1,1,2,137,3.2
2017,35676,16,1497,117,7,2,2,1,23,9.48
2015,74310,24,1120,71,5,1,1,1,193,4.0
2014,59364,14,2143,203,5,1,2,1,57,26.5
2014,41380,14,1595,120,5,2,2,2,21,11.77
2017,33900,15,2143,204,5,1,2,1,57,37.0
2016,28000,17,1497,117,5,2,1,1,42,8.75
2011,93982,17,1497,118,5,2,1,1,42,3.75
2010,95000,16,1599,103,5,2,1,1,175,2.5
2017,9000,13,1999,246,5,2,2,1,188,34.5
2015,52516,18,1198,86,5,2,1,1,16,4.65
2015,20000,18,1598,122,4,2,2,1,48,32.0
2017,56451,13,2987,282,5,1,2,1,139,62.81
2014,37000,21,814,55,5,2,1,1,58,3.25
2014,17400,20,998,67,5,2,1,1,180,3.1
2011,90207,21,1248,73,5,1,1,1,137,3.91
2011,89616,16,1995,181,5,1,2,1,1,11.0
2014,85000,13,2179,138,5,1,1,1,194,3.5
2014,79271,20,1968,143,5,1,2,1,8,16.5
2012,56000,12,2179,187,5,1,2,1,138,30.0
2010,85001,12,2987,224,7,1,2,2,78,28.0
2018,12000,13,2477,175,7,1,2,1,120,28.0
2010,125000,19,796,46,5,2,1,1,15,0.92
2013,53000,14,1061,64,5,2,1,1,180,2.75
2017,34990,12,2179,187,5,1,2,1,138,53.83
2011,49768,17,1591,121,5,2,1,2,175,4.95
2013,56000,16,2993,218,5,1,2,1,2,33.5
2013,75000,14,2993,270,5,1,2,1,189,27.95
2010,57000,13,1798,157,5,2,2,1,159,7.25
2017,37542,15,1968,174,5,1,2,1,127,25.71
2014,95649,12,2179,187,5,1,2,1,138,29.67
2013,35299,14,2143,170,5,1,2,1,112,19.0
2017,28464,15,2179,120,7,1,1,1,153,13.05
2015,41000,21,1995,190,5,1,2,1,1,25.5
2017,9000,15,1497,117,7,2,1,1,22,8.5
2010,92098,16,2400,215,5,1,2,2,143,7.25
2005,5834,13,1495,94,5,2,1,1,13,0.8
2017,40250,17,1197,81,5,2,1,1,201,6.9
2018,22397,11,2996,367,5,2,2,1,80,70.99
2015,20800,21,814,55,5,2,1,2,58,2.25
2018,40322,18,1197,81,5,2,1,1,86,5.5
2013,52576,13,1493,100,5,2,1,1,42,4.35
2010,55000,16,1198,73,5,2,1,1,124,2.25
2016,47000,15,1798,187,5,2,2,1,10,24.5
2017,23163,15,1591,121,5,2,1,1,51,12.03
2011,50000,11,1796,186,5,2,2,2,112,8.5
2014,11900,16,1998,189,4,2,2,1,48,28.5
2013,37000,23,1364,67,5,1,1,1,68,5.75
2014,30000,19,1198,86,5,2,1,2,30,3.2
2018,12831,21,1197,83,5,2,2,1,24,9.89
2012,143017,20,1968,138,5,1,2,1,100,6.58
2018,13102,21,814,55,5,2,1,1,58,4.06
2019,24950,20,1461,108,5,1,1,1,37,13.37
2011,57832,16,2993,258,5,1,2,1,2,25.82
2016,34267,22,796,47,5,2,1,1,15,3.74
2015,33000,16,1984,150,5,1,2,2,171,22.0
2007,55100,18,998,67,5,2,1,1,180,1.45
2008,40000,17,1497,78,5,2,1,1,42,2.0
2017,31841,15,1196,73,5,3,1,1,61,4.7
2014,15000,13,1399,98,8,2,1,1,65,3.75
2016,82756,15,2523,62,7,1,1,1,27,7.7
2014,20600,21,814,55,5,2,1,1,58,2.6
2017,29952,13,1591,121,5,2,2,1,51,13.77
2017,15000,16,1598,103,5,2,1,2,172,7.1
2008,61938,12,1799,130,5,2,2,2,43,2.65
2014,67000,22,1248,74,5,1,1,1,91,2.5
2013,61672,16,2179,140,7,1,1,1,192,7.53
2017,26185,18,1197,81,5,2,1,1,201,7.98
2014,38000,14,1968,174,5,1,2,2,128,39.0
2011,67000,18,1197,85,5,2,1,2,137,2.25
2010,66000,13,1999,114,5,2,1,2,39,3.85
2015,80883,12,2494,102,7,1,1,1,93,13.5
2016,80219,27,793,47,5,1,1,1,40,3.5
2018,12923,25,1248,88,5,1,1,1,141,8.92
2016,86642,15,1968,181,5,1,2,1,127,20.37
2016,19235,21,1995,190,5,1,2,1,1,36.5
2016,51002,11,4134,335,7,1,2,1,129,48.91
2016,6800,18,1197,81,5,2,1,1,201,7.2
2012,82749,19,1461,108,5,1,1,1,55,5.99
2016,51000,24,1120,71,5,1,1,1,193,5.25
2014,31465,22,1498,89,5,1,1,1,60,6.5
2013,76476,16,1198,73,5,2,1,1,124,4.4
2017,14000,24,1120,70,5,1,1,1,86,4.6
2013,47000,21,1248,88,5,1,1,1,106,2.95
2011,48466,17,1497,118,5,2,1,1,42,3.26
2008,46000,17,1086,62,5,2,1,2,151,2.22
2012,162663,12,2494,100,7,1,1,1,93,10.5
2017,25142,28,1248,88,5,1,1,1,41,8.26
2013,69000,12,2982,169,7,1,1,1,75,14.45
2018,26405,12,1950,191,5,2,2,1,57,51.43
2014,45000,15,2148,170,5,1,1,1,112,23.0
2012,64284,17,1968,108,5,1,1,1,196,5.5
2015,27000,18,1197,82,5,2,1,1,86,4.5
2018,3678,18,1196,86,5,2,1,1,73,6.8
2013,21000,16,1395,138,5,2,1,1,115,8.75
2015,67000,19,1461,83,5,1,1,2,55,7.0
2015,24000,15,1999,177,5,1,2,2,138,33.5
2011,75000,20,1399,68,5,1,1,2,73,2.25
2008,179000,12,2953,156,7,1,2,2,64,4.24
2017,47198,12,2982,168,7,1,1,1,75,28.42
2012,52000,22,1199,73,5,1,1,1,124,2.75
2011,91000,23,1248,73,5,1,1,1,137,3.0
2013,60000,23,1461,63,5,1,1,1,107,3.55
2013,37873,22,1582,126,5,1,1,1,175,4.8
2011,31000,10,2497,150,5,2,2,1,2,13.5
2017,129000,11,2987,258,7,1,2,1,82,56.0
2004,78000,12,2354,187,5,2,2,1,34,3.99
2016,32000,17,1582,126,5,1,2,1,51,15.5
2010,59000,19,1086,68,5,2,1,2,200,2.32
2016,35437,20,2143,136,5,1,2,1,6,18.58
2014,98000,16,1373,93,7,2,1,1,66,5.5
2006,72000,18,1896,66,5,1,1,2,115,3.2
2015,79000,18,1198,86,5,2,1,1,16,4.0
2004,29000,17,993,60,5,2,1,1,198,1.6
2013,66012,15,1586,103,5,2,1,1,147,4.15
2014,35000,16,1198,86,5,2,2,1,30,4.25
2011,75000,18,998,67,5,2,1,1,180,2.6
2008,80000,12,2362,164,5,2,2,2,35,3.43
2012,32717,18,1199,79,5,2,1,1,25,2.55
2017,25000,12,2982,168,7,1,2,1,75,32.0
2014,79000,22,1498,89,5,1,1,1,60,6.25
2010,86000,17,1248,75,5,1,1,2,160,3.6
2010,137000,13,2987,282,5,1,2,1,139,18.5
2015,25000,17,1497,117,7,2,1,2,108,4.25
2017,8500,18,1197,82,5,2,1,2,86,4.8
2015,34000,16,2179,140,7,1,2,1,192,13.0
2012,41629,14,1598,105,5,2,1,2,71,2.25
2009,80227,17,1086,62,5,2,1,1,151,2.3
2019,8587,15,1591,121,5,2,1,1,51,13.56
2017,30000,15,1997,120,7,1,1,1,153,12.25
2013,64186,20,1598,103,5,1,1,1,134,3.76
2015,76427,19,1461,108,5,1,1,1,55,8.58
2011,75000,11,2993,245,5,1,2,1,184,27.5
2013,27075,17,1496,88,5,2,1,1,68,4.95
2012,30000,22,998,67,5,2,1,1,180,3.3
2016,69434,15,1591,121,5,2,1,1,51,8.0
2014,56000,23,998,67,5,2,1,1,40,2.79
2017,49275,12,2179,187,5,1,2,1,138,45.64
2014,8700,18,1199,76,5,2,1,1,25,2.55
2014,18000,25,624,37,4,2,1,2,111,1.0
2017,41041,17,1968,174,5,1,2,1,10,37.56
2009,80464,11,2987,198,5,1,2,2,57,9.29
2019,20667,22,1197,81,5,2,1,1,160,6.37
2013,60283,14,1368,112,5,2,1,1,101,2.98
2017,31696,20,1197,81,5,2,1,1,160,5.75
2010,100000,11,2982,171,7,1,1,1,75,13.0
2014,13361,16,1373,93,7,2,1,1,66,6.8
2010,48394,12,1995,154,5,2,2,1,1,10.49
2014,47399,16,1373,93,7,2,1,1,66,5.6
2010,69000,16,1497,118,5,2,2,2,42,2.85
