,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,en_Fuel,en_Transmission,en_Owner,en_Name
121,2014,53753,15,2143,107,5,16.75,1,2,2,B
122,2018,10250,22,1582,126,5,10.95,1,1,1,Verna
123,2011,43874,18,998,67,5,2.45,2,1,1,WagonR
124,2017,32684,21,624,37,4,3.23,2,2,1,Nano
125,2014,42000,12,2179,120,8,7.75,1,1,1,Scorpio
126,2009,28352,11,1796,178,5,9.35,2,2,1,New
127,2013,89900,26,998,58,5,3.25,3,1,1,WagonR
128,2007,47700,10,2354,152,5,5.25,2,1,2,CR-V
129,2015,55000,21,1498,103,5,7.25,1,2,1,Vento
130,2017,44285,20,1373,91,5,7.47,2,1,1,Ciaz
131,2016,54000,16,2179,140,7,13.25,1,2,1,XUV500
132,2016,30232,21,1197,85,5,5.81,2,1,1,Ritz
133,2014,88500,24,998,67,5,2.6,2,1,1,Alto
134,2017,13372,19,2996,362,2,54.0,2,2,1,SLC
135,2019,12645,17,1591,121,5,11.5,2,2,1,Verna
136,2010,94385,19,796,46,5,1.6,2,1,2,Alto
137,2015,31821,20,1995,143,5,17.22,1,2,1,1
138,2015,12000,19,1199,88,5,6.0,2,2,1,Jazz
139,2012,88578,13,1799,130,5,3.95,2,1,1,Civic
140,2014,44965,19,2143,170,5,17.95,1,2,1,New
141,2014,45044,25,1498,98,5,3.7,1,1,1,Amaze
142,2016,34204,22,1197,81,5,5.43,2,1,1,Swift
144,2012,91235,11,2982,171,7,13.49,1,1,1,Fortuner
145,2014,38800,18,1199,76,5,2.85,2,1,1,Beat
146,2013,83000,21,1498,103,5,4.75,1,1,1,Rapid
147,2018,41283,20,1373,91,5,9.9,2,1,1,Ciaz
148,2013,23000,11,2894,444,4,37.0,2,2,1,RS5
149,2014,48000,21,1995,190,5,26.5,1,2,1,3
150,2015,48214,17,1968,174,5,23.32,1,2,1,A4
151,2016,35000,22,1248,74,5,6.25,1,1,1,Swift
152,2010,35277,7,5461,362,5,30.0,2,2,1,S
153,2016,54620,21,1498,103,5,9.86,1,2,1,Rapid
154,2012,136997,17,1968,138,5,8.5,1,2,1,Superb
155,2019,14322,21,814,55,5,4.23,2,1,1,EON
156,2012,65634,22,1199,73,5,3.5,1,1,1,Polo
157,2016,6000,20,1198,67,5,2.5,2,1,1,GO
158,2013,33280,19,1198,86,5,2.39,2,1,1,Brio
159,2013,29000,14,1595,120,5,11.25,2,2,1,B
160,2015,42831,26,1498,98,5,7.11,1,1,1,City
161,2016,90000,12,2494,100,7,10.9,1,1,1,Innova
162,2017,24005,20,1197,81,5,6.2,2,1,1,Swift
163,2012,32792,15,2179,140,7,7.9,1,1,1,XUV500
164,2014,147898,22,1498,89,5,4.42,1,1,1,Ecosport
165,2012,131765,13,2982,168,7,13.5,1,1,1,Fortuner
166,2013,65000,21,1498,108,5,6.25,1,2,1,Vento
167,2010,66123,20,1399,68,5,2.1,1,1,2,Figo
168,2015,41000,15,2993,258,5,45.0,1,2,1,X5
169,2017,23550,19,2143,167,5,33.66,1,2,1,New
170,2012,45000,19,1198,86,5,3.65,2,1,2,Brio
171,2013,60000,20,1197,78,5,2.75,2,1,1,i10
172,2016,44414,17,2143,170,5,42.5,1,2,1,GLC
173,2019,1000,18,1197,81,5,6.5,2,1,1,Grand
174,2012,62500,17,1968,174,5,19.0,1,2,2,A6
175,2013,21000,14,1598,103,5,4.45,2,2,2,Vento
176,2017,8525,16,1998,112,5,23.0,1,2,2,Countryman
177,2014,29000,22,1396,88,5,8.35,1,1,1,i20
178,2014,40000,17,1968,174,5,22.95,1,2,1,A6
179,2012,88000,25,936,57,5,1.5,1,1,1,Beat
180,2012,53537,13,1798,157,5,6.89,2,2,1,Superb
181,2006,216000,17,1399,68,5,1.45,1,1,2,Fiesta
182,2014,51000,22,1995,190,5,33.5,1,2,1,5
183,2007,118500,12,1598,102,5,1.25,2,1,1,Optra
184,2012,63000,22,1199,73,5,4.2,1,1,1,Polo
185,2015,25000,19,1461,108,8,6.75,1,1,1,Lodgy
186,2014,37382,13,2143,201,5,32.0,1,2,1,E-Class
187,2017,24773,21,1197,83,5,7.5,2,1,1,Baleno
188,2012,62000,22,1582,126,5,4.6,1,1,1,Verna
189,2017,52340,19,1086,68,5,4.04,2,1,1,i10
190,2016,56739,15,1997,120,7,10.31,1,1,1,Scorpio
191,2018,36091,12,2179,187,5,55.76,1,2,1,Rover
192,2010,120000,20,1399,68,5,2.6,1,1,1,Figo
193,2016,33000,25,1248,88,7,8.5,1,1,1,Ertiga
195,2014,52000,25,1498,98,5,3.5,1,1,1,Amaze
196,2015,43571,20,1197,78,5,3.55,2,1,1,i10
197,2013,50000,25,1498,98,5,3.25,1,1,1,Amaze
198,2008,113000,17,1896,106,5,4.5,1,1,1,Laura
199,2014,90000,19,1461,83,5,5.35,1,1,1,Duster
200,2017,29000,17,1493,100,7,6.5,1,1,2,NuvoSport
201,2016,20000,24,1248,88,5,9.0,1,1,1,Vitara
202,2016,61012,18,1197,81,5,6.0,2,1,1,i20
203,2009,87459,14,1390,85,5,2.75,2,1,1,Fabia
204,2010,70500,15,1193,64,5,1.5,2,1,1,Indigo
205,2015,64103,15,1968,174,5,19.9,1,2,1,Q3
206,2014,76000,14,1798,177,5,10.0,2,2,1,Octavia
207,2014,104000,23,1364,67,5,3.0,1,1,1,Etios
209,2014,37245,14,1595,120,5,11.96,2,2,1,B
210,2013,45000,27,1498,98,5,3.25,1,1,1,Amaze
211,2012,117837,22,1582,126,5,4.75,1,1,2,Verna
212,2014,30000,20,1461,83,5,5.95,1,1,1,Duster
213,2015,27057,15,1591,121,5,8.15,2,1,2,Creta
214,2016,8500,20,998,67,5,4.22,2,2,1,WagonR
215,2010,30500,11,1796,186,5,10.5,2,2,1,New
216,2012,56000,11,2967,246,5,45.0,1,2,1,A8
217,2012,44000,19,1086,68,5,2.9,2,1,2,i10
218,2017,10500,14,1598,103,5,8.9,2,2,1,Rapid
219,2017,26000,14,1798,177,5,26.0,2,2,1,Superb
220,2018,25166,17,1197,81,5,8.22,2,1,1,i20
221,2014,64000,25,1498,98,5,3.5,1,1,2,Amaze
222,2004,61000,18,998,67,5,1.25,2,1,2,WagonR
223,2013,107000,21,1461,65,5,3.7,1,1,1,Verito
224,2018,29161,19,2143,167,5,39.41,1,2,1,New
225,2013,32000,22,998,67,5,2.65,2,1,1,WagonR
226,2015,46173,19,1461,108,5,8.92,1,1,2,Terrano
228,2017,26327,16,1998,189,4,35.67,2,2,1,Cooper
230,2007,200000,17,1396,53,5,0.85,1,1,2,Indica
231,2016,60813,18,1199,76,5,3.32,2,1,2,Beat
232,2012,45000,22,1199,73,5,3.6,1,1,1,Polo
233,2016,64000,22,1248,74,5,6.8,1,1,1,Swift
234,2012,41284,20,1399,68,5,2.5,1,1,1,Figo
235,2019,14165,11,2755,171,7,19.64,1,2,1,Innova
236,2011,67000,11,2199,194,7,7.0,1,2,2,Santa
237,2011,32572,17,1497,117,5,3.87,2,1,1,City
238,2018,14960,18,1197,81,5,6.27,2,1,1,i20
239,2015,55980,19,2143,167,5,18.12,1,2,1,New
240,2013,74000,25,936,57,5,2.65,1,1,1,Beat
241,2015,56847,22,1396,88,5,7.2,1,1,1,i20
242,2015,121374,12,2494,100,7,14.3,1,1,1,Innova
243,2013,52000,20,1248,88,7,6.9,1,1,1,Ertiga
244,2014,118000,12,2494,102,7,10.75,1,1,1,Innova
246,2016,33915,17,1497,117,5,8.09,2,1,1,City
247,2014,82002,17,1995,184,5,18.5,1,2,1,X1
248,2017,33000,24,1120,70,5,4.75,1,1,1,Grand
249,2016,34000,28,1248,88,5,8.45,1,1,1,Ciaz
250,2012,55000,20,1598,103,5,3.5,1,1,1,Rapid
251,2006,160538,13,1493,82,5,1.8,1,1,1,Accent
252,2014,60000,19,1498,103,5,3.7,1,1,2,Polo
253,2017,49575,18,1199,88,5,7.17,2,1,1,Jazz
254,2010,83000,19,1086,68,5,1.75,2,1,1,i10
255,2018,51346,16,1995,183,5,21.99,1,2,1,Tucson
256,2017,43000,13,2393,147,7,18.65,1,1,1,Innova
257,2011,35000,19,796,35,5,1.85,2,1,3,Omni
258,2017,27872,20,1197,81,5,5.95,2,1,2,Swift
259,2014,16514,18,1197,82,5,3.75,2,1,1,Grand
260,2012,120000,22,1248,74,5,3.75,1,1,1,Swift
261,2008,143275,22,1582,126,5,2.6,1,1,1,Verna
263,2010,52000,17,1197,80,5,2.8,2,1,1,i20
264,2017,29819,11,2987,254,5,61.29,1,2,1,GLE
265,2014,57000,15,2148,170,5,18.0,1,1,2,New
266,2014,88500,23,1248,73,5,4.35,1,1,1,Ritz
267,2016,28000,19,1582,126,5,13.75,1,1,1,Creta
268,2010,67000,19,998,66,5,2.0,2,1,1,A-Star
269,2016,26000,19,1461,108,5,10.0,1,1,1,Duster
270,2010,120000,17,1248,76,5,1.65,1,1,1,Grande
271,2017,51982,16,2993,258,5,45.77,1,2,1,X3
272,2010,36000,20,1197,78,5,3.25,2,1,2,i10
273,2016,47000,12,2494,102,7,12.8,1,1,1,Innova
274,2002,60000,17,993,60,5,0.55,2,1,3,Zen
275,2018,31025,28,1248,74,5,7.15,1,1,1,Swift
276,2013,105000,12,2179,120,8,7.0,1,1,2,Scorpio
277,2017,121900,22,1248,74,5,3.75,1,1,1,Zest
278,2017,22695,18,999,123,5,8.5,2,1,1,EcoSport
279,2012,73000,23,1248,74,5,4.35,1,1,1,Swift
280,2016,32227,22,796,47,5,3.26,2,1,1,Alto
281,2011,55000,17,1497,118,5,4.21,2,1,1,City
282,2018,11287,12,2967,241,7,70.36,1,2,1,Q7
283,2009,48000,17,1896,105,5,2.95,1,2,2,Laura
284,2012,54308,17,1591,121,5,4.28,2,1,1,Verna
285,2009,78442,16,1497,118,5,3.57,2,2,1,City
286,2013,46000,21,1396,88,5,3.11,1,1,1,i20
287,2014,45051,15,1396,98,5,5.96,2,2,1,i20
288,2011,69000,20,1598,103,5,4.7,1,1,1,Vento
289,2014,49000,17,1497,117,5,6.9,2,1,1,City
290,2018,45000,22,1248,74,5,5.25,1,1,1,Zest
291,2015,64000,18,1995,177,5,28.0,1,2,1,5
292,2009,60000,18,1061,67,5,1.35,2,1,1,WagonR
293,2015,62178,18,1199,88,5,4.85,2,1,1,Jazz
294,2012,58006,15,1896,105,5,6.7,1,1,1,Jetta
295,2010,74000,20,1197,78,5,3.1,2,1,1,i10
296,2015,77771,19,2143,170,5,18.64,1,2,1,New
297,2012,45275,20,1197,78,5,2.8,2,1,1,i10
298,2016,48000,13,2393,147,7,20.25,1,1,1,Innova
299,2015,31652,17,1968,174,5,26.78,1,2,1,A6
300,2010,109000,12,2494,100,7,8.26,1,1,2,Innova
301,2015,31978,16,1198,73,5,3.89,2,1,1,Polo
302,2011,70000,20,998,67,5,2.1,2,1,1,Alto
303,2017,15000,18,1497,117,5,12.69,2,2,1,City
304,2013,59138,17,1405,70,5,2.58,1,1,1,Indigo
305,2014,61726,17,1968,174,5,20.77,1,2,1,A6
306,2015,48000,17,2143,136,5,20.26,1,2,1,GLA
309,2014,77815,23,998,67,5,4.25,2,2,1,Celerio
310,2017,29000,17,2143,201,5,57.0,1,2,1,GLE
311,2017,44000,12,2179,187,5,44.0,1,2,1,Rover
312,2011,108626,20,1598,103,5,3.65,1,1,1,Vento
313,2012,71791,14,796,35,5,2.05,2,1,1,Omni
314,2012,91931,18,1198,86,5,3.13,2,1,1,Brio
315,2000,158000,14,2956,83,7,1.5,1,1,2,Sumo
316,2012,91183,18,1248,75,5,2.85,1,1,1,Indica
317,2012,65000,18,998,67,5,2.65,2,1,1,WagonR
318,2015,88428,16,2179,140,7,10.6,1,1,1,XUV500
319,2008,138000,17,1396,70,5,1.25,1,1,2,Indigo
320,2018,18000,16,1373,93,7,8.25,2,1,1,Ertiga
321,2011,60000,11,2354,177,5,4.45,2,2,1,Accord
322,2012,48000,19,1248,73,5,3.7,1,1,1,Swift
323,2009,160000,17,1399,68,5,2.8,1,1,1,Fiesta
324,2008,40000,17,1497,78,5,1.8,2,1,1,City
325,2014,51495,17,1968,174,5,21.95,1,2,1,A6
326,2011,30000,9,2993,313,4,49.0,1,2,1,6
327,2017,97430,14,2967,245,7,62.67,1,2,1,Q7
328,2008,42496,26,998,67,5,1.4,3,1,1,Zen
329,2012,83000,23,1396,90,5,5.5,1,1,1,i20
330,2009,37000,16,1197,78,5,2.95,2,2,3,i10
331,2016,28503,19,1199,88,5,6.86,2,2,1,Jazz
332,2015,76496,25,1248,74,5,6.15,1,1,1,Swift
333,2011,79152,18,1197,82,5,3.3,2,1,2,i20
334,2011,32000,16,1198,73,5,2.55,2,1,1,Polo
335,2009,35000,19,796,46,5,1.5,2,1,1,Alto
336,2004,105000,11,1794,125,5,2.5,2,2,2,Corolla
337,2006,56000,19,796,46,5,1.4,2,1,2,Alto
338,2012,73000,21,1248,88,5,3.4,1,1,1,Manza
339,2012,38000,19,796,46,5,2.25,2,1,1,Alto
340,2013,775000,19,1968,141,5,7.5,1,2,1,Octavia
341,2008,80000,11,1794,125,5,2.8,2,2,1,Corolla
342,2016,24973,18,1197,81,5,7.66,2,1,1,i20
343,2016,45000,24,1248,88,5,7.15,1,1,1,Vitara
344,2010,87430,17,1497,118,5,3.5,2,1,1,City
345,2014,133944,18,1248,75,5,3.5,1,1,2,Indica
346,2013,57000,25,1498,98,5,3.45,1,1,1,Amaze
347,2016,27904,21,814,55,5,3.55,2,1,1,EON
348,2015,30717,21,1995,190,5,25.99,1,2,2,3
349,2012,80000,22,1582,126,5,5.25,1,1,1,Verna
350,2013,47304,21,1248,88,5,2.9,1,1,1,Manza
351,2005,100000,14,1984,227,5,2.05,2,2,1,Octavia
352,2017,30000,24,998,67,5,3.75,2,1,1,Alto
353,2014,68000,22,1498,89,5,6.75,1,1,1,Ecosport
354,2011,21000,18,995,62,5,0.95,2,1,2,Spark
355,2017,21000,19,1999,177,5,52.0,1,2,1,XF
356,2007,119000,13,1997,141,5,3.91,2,1,3,CR-V
357,2019,13747,14,1798,177,5,27.3,2,2,1,Superb
358,2009,620000,20,1197,78,5,2.7,2,1,1,i10
359,2013,70000,22,1248,74,5,3.5,1,1,1,Swift
360,2016,18000,18,1197,83,5,6.2,2,2,1,Swift
361,2011,83000,23,1461,63,5,2.75,1,1,1,Micra
362,2015,130000,23,1248,74,5,3.25,1,1,1,Swift
363,2012,63400,17,1399,67,5,3.25,1,1,1,Fiesta
364,2003,65000,17,993,60,5,0.65,2,1,1,Zen
365,2017,8350,13,1998,192,5,35.0,2,1,1,Clubman
366,2014,45000,23,1364,67,5,3.25,1,1,1,Etios
367,2018,26200,24,796,47,5,2.9,2,1,1,Alto
368,2011,11000,18,796,47,5,2.9,2,1,3,Alto
369,2009,90000,11,2993,235,5,17.75,1,2,2,X5
370,2015,74000,11,2496,179,5,8.25,2,2,2,Teana
371,2015,37081,18,1197,82,5,5.77,2,2,1,Grand
372,2017,39000,24,1248,88,5,9.49,1,1,1,Vitara
373,2008,99000,12,2967,241,7,12.95,1,2,3,Q7
374,2015,38000,17,2143,136,5,20.0,1,2,1,GLA
375,2007,72000,16,796,37,4,1.0,2,1,3,800
376,2015,93000,20,1461,83,5,7.1,1,1,2,Duster
377,2017,5900,21,1364,87,5,16.5,1,1,1,Corolla
378,2014,25000,15,2148,170,5,26.0,1,1,1,New
379,2010,68000,21,1248,73,5,3.2,1,1,2,Ritz
380,2017,35676,16,1497,117,7,9.48,2,2,1,BRV
381,2015,74310,24,1120,71,5,4.0,1,1,1,Xcent
382,2014,59364,14,2143,203,5,26.5,1,2,1,E-Class
383,2014,41380,14,1595,120,5,11.77,2,2,2,B
384,2017,33900,15,2143,204,5,37.0,1,2,1,E-Class
385,2016,28000,17,1497,117,5,8.75,2,1,1,City
387,2011,93982,17,1497,118,5,3.75,2,1,1,City
388,2010,95000,16,1599,103,5,2.5,2,1,1,Verna
389,2017,9000,13,1999,246,5,34.5,2,2,1,XE
390,2015,52516,18,1198,86,5,4.65,2,1,1,Amaze
391,2015,20000,18,1598,122,4,32.0,2,2,1,Cooper
392,2017,56451,13,2987,282,5,62.81,1,2,1,S
393,2014,37000,21,814,55,5,3.25,2,1,1,EON
394,2014,17400,20,998,67,5,3.1,2,1,1,WagonR
395,2011,90207,21,1248,73,5,3.91,1,1,1,Ritz
396,2011,89616,16,1995,181,5,11.0,1,2,1,3
397,2014,85000,13,2179,138,5,3.5,1,1,1,Xenon
398,2014,79271,20,1968,143,5,16.5,1,2,1,A3
399,2012,56000,12,2179,187,5,30.0,1,2,1,Rover
400,2010,85001,12,2987,224,7,28.0,1,2,2,GL-Class
401,2018,12000,13,2477,175,7,28.0,1,2,1,Pajero
402,2010,125000,19,796,46,5,0.92,2,1,1,Alto
403,2013,53000,14,1061,64,5,2.75,2,1,1,WagonR
404,2017,34990,12,2179,187,5,53.83,1,2,1,Rover
405,2011,49768,17,1591,121,5,4.95,2,1,2,Verna
406,2013,56000,16,2993,218,5,33.5,1,2,1,5
407,2013,75000,14,2993,270,5,27.95,1,2,1,XF
408,2010,57000,13,1798,157,5,7.25,2,2,1,Superb
409,2017,37542,15,1968,174,5,25.71,1,2,1,Q3
410,2014,95649,12,2179,187,5,29.67,1,2,1,Rover
411,2013,35299,14,2143,170,5,19.0,1,2,1,New
412,2017,28464,15,2179,120,7,13.05,1,1,1,Scorpio
413,2015,41000,21,1995,190,5,25.5,1,2,1,3
414,2017,9000,15,1497,117,7,8.5,2,1,1,BR-V
415,2010,92098,16,2400,215,5,7.25,1,2,2,S80
416,2005,5834,13,1495,94,5,0.8,2,1,1,Accent
417,2017,40250,17,1197,81,5,6.9,2,1,1,i20
418,2018,22397,11,2996,367,5,70.99,2,2,1,GLC
419,2015,20800,21,814,55,5,2.25,2,1,2,EON
420,2018,40322,18,1197,81,5,5.5,2,1,1,Grand
421,2013,52576,13,1493,100,5,4.35,2,1,1,City
422,2010,55000,16,1198,73,5,2.25,2,1,1,Polo
423,2016,47000,15,1798,187,5,24.5,2,2,1,A6
425,2017,23163,15,1591,121,5,12.03,2,1,1,Creta
426,2011,50000,11,1796,186,5,8.5,2,2,2,New
427,2014,11900,16,1998,189,4,28.5,2,2,1,Cooper
429,2013,37000,23,1364,67,5,5.75,1,1,1,Etios
430,2014,30000,19,1198,86,5,3.2,2,1,2,Brio
431,2018,12831,21,1197,83,5,9.89,2,2,1,Baleno
432,2012,143017,20,1968,138,5,6.58,1,2,1,Laura
433,2018,13102,21,814,55,5,4.06,2,1,1,EON
434,2019,24950,20,1461,108,5,13.37,1,1,1,Captur
435,2011,57832,16,2993,258,5,25.82,1,2,1,5
436,2016,34267,22,796,47,5,3.74,2,1,1,Alto
437,2015,33000,16,1984,150,5,22.0,1,2,2,V40
438,2007,55100,18,998,67,5,1.45,2,1,1,WagonR
439,2008,40000,17,1497,78,5,2.0,2,1,1,City
440,2017,31841,15,1196,73,5,4.7,3,1,1,Eeco
441,2014,15000,13,1399,98,8,3.75,2,1,1,Enjoy
442,2016,82756,15,2523,62,7,7.7,1,1,1,Bolero
444,2014,20600,21,814,55,5,2.6,2,1,1,EON
445,2017,29952,13,1591,121,5,13.77,2,2,1,Creta
446,2017,15000,16,1598,103,5,7.1,2,1,2,Vento
447,2008,61938,12,1799,130,5,2.65,2,2,2,Civic
448,2014,67000,22,1248,74,5,2.5,1,1,1,Indica
449,2013,61672,16,2179,140,7,7.53,1,1,1,XUV500
450,2017,26185,18,1197,81,5,7.98,2,1,1,i20
451,2014,38000,14,1968,174,5,39.0,1,2,2,Q5
452,2011,67000,18,1197,85,5,2.25,2,1,2,Ritz
453,2010,66000,13,1999,114,5,3.85,2,1,2,Cedia
454,2015,80883,12,2494,102,7,13.5,1,1,1,Innova
455,2016,80219,27,793,47,5,3.5,1,1,1,Celerio
456,2018,12923,25,1248,88,5,8.92,1,1,1,S-Cross
457,2016,86642,15,1968,181,5,20.37,1,2,1,Q3
458,2016,19235,21,1995,190,5,36.5,1,2,1,3
459,2016,51002,11,4134,335,7,48.91,1,2,1,Q7
460,2016,6800,18,1197,81,5,7.2,2,1,1,i20
461,2012,82749,19,1461,108,5,5.99,1,1,1,Duster
462,2016,51000,24,1120,71,5,5.25,1,1,1,Xcent
463,2014,31465,22,1498,89,5,6.5,1,1,1,Ecosport
464,2013,76476,16,1198,73,5,4.4,2,1,1,Polo
465,2017,14000,24,1120,70,5,4.6,1,1,1,Grand
